名字,开放时间,评分,建议游玩时间,门票,来源城市
"青岛钓鱼吧海钓",9:00-17:00,4,3,260,聊城
"位山黄河公园",09:00-16:00,5,2.5,20,聊城
"阿胶世界Ejiao World",8:00-18:00,4.7,2,198,聊城
"苏海森林动物世界Suhai Senlin Dongwu World",8:30-17:00,3.4,2.5,27,聊城
"鼎湖山Dinghu Mountain",5:30-18:30,4.5,4,70,肇庆
"七星岩景区",07:00-17:30,4,4,70,肇庆
"紫云谷Ziyungu",8:00-22:00,4.4,3,7,肇庆
"星湖旅游景区Star Lake Tourism Area",7:30-17:30,4.6,4.5,70,肇庆
"盘龙峡生态旅游区Panlongxia Ecological Tourism Zone",08:30-18:00,3.6,108,60,肇庆
"绥江竹海生态旅游景区Zhuhai Grand View",8:00-17:30,4.6,12,30,肇庆
"星湖湿地公园Xinghu Wetland Park",08:00-17:30,4.4,1,70,肇庆
"学宫大成殿",8:15-11:30,4.5,1.5,15,肇庆
"悦城龙母祖庙 （龙母庙）Longmu Imperial Ancestral Temple",07:00-17:30,4.7,5.5,50,肇庆
"千层峰Qiancengfeng National Geology Park",09:00-17:00,4.1,1.5,16,肇庆
"白沙龙母庙Baisha The Dragon Mother's Temple",8:30-17:30,4.3,1,4,肇庆
"宝锭山风景区Ingot Mountain Scenic Area",8:00-18:30,4.1,4,25,肇庆
"大斑石Dabanshi",9:00-17:00,4.2,0.75,16,肇庆
"奇石河Qishi River",8:30-17:00,4.3,2.5,54,肇庆
"中国彩灯博物馆Chinese Lantern Museum",8:30-17:30,4.6,2.5,18,自贡
"燊海井Shenhai Well",8:30-17:30,4.4,1.5,25,自贡
"荣县大佛Giant Buddha in Rong County",9:00-17:30,4.2,1.5,10,自贡
"盐业历史博物馆Salt Making Industry History Museum",08:30-17:30,4.5,1.5,35,自贡
"自贡尖山风景区Jianshan Natural Scenic Area",09:00-17:30,4.2,2,18,自贡
"普陀山风景区Putuo Mountain Scenic Area",06:20-21:50,4.7,180,230,舟山
"朱家尖大青山景区Daqing Mountain",08:00-16:45,4.5,2.5,60,舟山
"庙子湖岛Miaozihu Island",8:00-17:00,4.2,12,0,舟山
"东福山岛Dongfushan Island",8:00-17:00,4.7,108,0,舟山
"慧济寺Huiji Temple",07:00-17:00,4.8,1.5,170,舟山
"朱家尖观音法界",09:00-17:00,4.7,1.5,90,舟山
"法雨寺Fayu Temple",6:00-17:30,4.8,1.5,170,舟山
"洛迦山Luojia Mountain",08:00-13:00,4.8,3,7,舟山
"紫竹林Zizhulin",6:00-18:00,4.7,1.5,245,舟山
"秀山岛",8:00-19:00,4,4,7,舟山
"东崖绝壁Dongya Cliff",04:30-16:30,4.5,2.5,50,舟山
"桃花峪景区Taohuayu Scenic Area (Peach Blossum Valley Scenic Area)",8:00-16:30,4.4,5,44,舟山
"不肯去观音院Bukenqu Guanyin Yard",7:00-17:30,4.6,0.5,88,舟山
"国际沙雕艺术广场International Sand Sculpture Art Square",7:00-21:30,4.1,3,30,舟山
"33米高南海观音33 meters high Nanhai Guanyin",06:00-18:00,4.7,1,170,舟山
"梅福庵Meifu Nunnery",8:00-18:00,4.6,1.5,88,舟山
"射雕英雄传旅游城Legend of the Eagle Shooting Heroes Travel City",8:30-17:00,4,12,48,舟山
"短姑圣迹Duangu Shengji",08:00-17:00,4.6,0.75,12,舟山
"东沙古镇Dongsha Ancient Town",8:00-16:30,3.9,3.5,28,舟山
"大悲山灵音禅寺",8:00-18:00,3,1.5,10,舟山
"普陀山西天景区The Western Heaven Scenic District of Mount Putuo",8:00-18:00,4.7,2.5,2,舟山
"安期峰景区Anqifeng Sceneic Area",8:00-16:30,4.3,1.5,42,舟山
"和尚套",7:00-17:00,4.4,1.5,100,舟山
"基湖沙滩Jihu Beach",8:00-17:00,4.2,12,40,舟山
"六合朝阳景区Liujingtan",07:00-15:30,4.5,2.5,45,舟山
"大乘禅院Mahayana Temple",8:00-18:00,4.8,0.75,2,舟山
"鹿栏晴沙景区Lulan Qingsha Scenic Area",08:00-18:00,3.9,108,30,舟山
"观音跳Guanyintiao Scenic Spot",6:00-17:30,4.5,0.5,0,舟山
"马仁奇峰风景区Maren Qifeng Scenic Area",08:00-17:00,4.4,12,70,芜湖
"丫山花海石林Yashan Flower Sea and Stone Forest",8:00-17:00,4.2,12,55,芜湖
"陶辛水韵Taoxin Shuiyun",08:00-17:00,4.4,2,60,芜湖
"芜湖陆和村茶艺博物馆Luhecun Chayi Museum",8:00-17:30,4.8,2.5,10,芜湖
"山塘街Shantang Street",8:00-21:00,4.5,3,48,苏州
"同里古镇Tongli Ancient Town",08:00-17:15,4.5,12,66,苏州
"同里国家湿地公园Tongli Wetland Park",8:30-18:00,4.6,2.5,13,苏州
"寒山寺Hanshan Temple",08:00-16:30,4.5,1.5,17.1,苏州
"苏州上方山国家森林公园Shangfangshan Hill National Forest Park",07:30-16:30,4.6,3,40,苏州
"西山Xishan Island",8:30-17:00,4.5,108,31.1,苏州
"锦溪古镇Jinxi Ancient Town",8:00-17:00,4.4,12,43,苏州
"木渎古镇Mudu Ancient Town",8:30-17:00,4.5,3.5,62,苏州
"天平山Tianpingshan",08:00-17:00,4.6,12,30,苏州
"沈园",8:00-20:00,4.3,2.5,100,苏州
"千灯古镇Qiandeng Ancient Town",8:30-16:30,4.4,12,47.55,苏州
"香雪海Xiangxuehai",08:30-17:00,4.4,2.5,18,苏州
"阳澄湖半岛旅游度假区Yangcheng Lake Peninsula Tourist Resort",9:00-17:00,4.4,2.5,13.4,苏州
"盘门Pan Gate",7:30-17:00,4.7,12,35.3,苏州
"大如意圣境Great Ruyi Sacred Place",7:30-17:30,4.4,1.5,57,苏州
"苏州太湖湖滨国家湿地公园Suzhou Taihu Hubin National Wetland Park",08:30-16:30,4.5,2.5,9,苏州
"怡园Yiyuan Garden",07:30-17:00,4.6,2,15,苏州
"林屋洞Linwu Cave",8:00-16:30,4.5,2.5,31.1,苏州
"苏州海洋馆Suzhou Aquarium",9:00-17:00,3.6,2.5,115.7,苏州
"白塘生态植物园Baitang Ecology Botanical Garden",9:00-17:00,4.7,2,5,苏州
"张家港梦幻海洋王国Zhangjiagang Dream Ocean Kingdom",10:00-20:00,4.4,2.5,95,苏州
"兴福寺Xingfu Temple",5:30-17:00,4.6,1.5,5,苏州
"北塔报恩寺North Temple Tower",7:45-17:30,4.6,1,5,苏州
"全福讲寺Quanfu Temple",8:00-16:30,4.3,1,158,苏州
"沈万三故居Shenwansan Former Residence",8:00-16:00,4.5,1,68,苏州
"灵岩山Lingyan Mountain",08:30-17:00,4.6,3.5,1,苏州
"苏州太湖国家湿地公园Suzhou Taihu National Wetland Park",9:00-17:00,4.5,4,60,苏州
"光福景区Guangfu Scenic Area",8:00-17:00,4.3,12,13.5,苏州
"方塔园Fang Tower Park",8:00-16:00,4.6,1.75,6,苏州
"凤凰山景区恬庄古街Tianzhuang Ancient Street",8:30-16:30,4.4,2.5,18,苏州
"大阳山国家森林公园Dayangshan National Forest Park",9:00-16:30,4.4,4,45,苏州
"浪漫海岸国际旅游度假区Langman Hai’an (“Romantic Coast”) International Tourism Zone",8:00-21:00,4.6,12,71.8,茂名
"茂名森林公园Maoming Forest Park",8:30-17:00,4.6,4,25,茂名
"西江温泉度假村Xijiang (West River) Hot Spring Resort",9:00-23:30,4.4,1.5,49.5,茂名
"天马山生态旅游区Tianma Mountain Ecotourism Resort",8:00-17:00,4.3,5,54,茂名
"高州仙人洞景区Gaozhou Xianren Cave Scenic Area",8:00-17:00,4.4,4.5,55,茂名
"石根山Shigen Mountain",8:00-18:00,4.4,5,39.5,茂名
"荆州古城Jingzhou Ancient City",08:00-17:30,4.5,12,400,荆州
"洈水景区Weishui Scenic Area",09:00-17:00,4.6,2.5,63,荆州
"张居正故居Zhang Juzheng Former Residence",8:00-17:30,4.4,1.5,18,荆州
"洪湖生态旅游风景区Honghu Eco-Tourism Scenic Area",8:30-16:30,4.2,2.5,68,荆州
"关帝庙Guandi Temple",08:00-17:30,4.4,1.5,18,荆州
"湄洲岛Meizhou Island",07:30-17:20,4.3,72,160,莆田
"莆田瑞士文化小镇Putian Swiss Cultural Town",9:00-22:00,3.4,12,30,莆田
"菜溪岩Caixi Rock",8:00-17:00,4.4,1,35,莆田
"鹅尾神石园Goose Tail Stone Garden",8:00-18:00,4.7,2.5,15,莆田
"仿山墓群",8:00-17:00,4.5,3,10,菏泽
"菏泽牡丹园",08:30-16:30,4.5,2.5,48,菏泽
"仿山旅游区Fangshan Tourist Area",09:00-16:30,2.2,12,25,菏泽
"发云界",8:00-20:00,4.3,1.5,70,萍乡
"老鹰谷风景区",08:00-17:00,4.5,12,20,萍乡
"武功山花涧里Huajianli Park, Wugong Mountain",08:00-18:00,4.5,12,35.8,萍乡
"双月湾旅游度假区Shuangyue Bay Tourist Resort",8:30-17:30,3.8,2.5,30,萍乡
"望儿山Wang'er Mountain",8:00-16:30,4.3,3,19.6,营口
"营口北海-海石天街Haishitian Street, Yingkou Beihai",08:00-16:30,4.7,0.75,70,营口
"九门口水上长城Nine-Gate Water Great Wall",8:00-16:00,3.8,3,50,葫芦岛
"葫芦古镇旅游度假区Hulu Old Town Tourist Resort",8:00-20:00,4.4,19.2,29.9,葫芦岛
"灵山风景名胜区Lingshan Scenic Area",7:30-17:00,4.7,4,45,葫芦岛
"将军府General House",8:30-17:00,3.7,0.6,10,葫芦岛
"固镇县博物馆Guzhenxian Museum",8:30-17:00,3.7,2.5,0,蚌埠
"五河县星空失恋博物馆Wuhexian Xingkong Shilian Museum",9:00-22:00,4.3,2,25,蚌埠
"世界乐器博物馆Shijieyueqi Museum",8:30-17:00,5,2.5,200,衡水
"衡水野生动物园Hengshuiyesheng Zoo",9:00-17:30,4.3,2.5,29,衡水
"南岳大庙Grand Temple of Mount Heng",7:00-17:30,4.6,2.5,40,衡阳
"磨镜台Mojingtai",06:00-17:30,4.6,0.65,80,衡阳
"水帘洞Shuilian (Water Curtain) Cave",7:30-17:30,4.3,1.5,10,衡阳
"南岳忠烈祠Nanyue Memorial Hall",7:00-17:30,4.6,1.5,699,衡阳
"罗荣桓故居Luoronghuan Former Residence",9:00-17:00,4.6,2.5,0,衡阳
"蔡伦竹海Cailun Bamboo Ocean",8:00-17:00,4.3,4,44.8,衡阳
"龙游石窟Longyou Caves",08:00-16:30,4.2,2,80,衢州
"江郎山风景名胜区Jianglang Mountain Scenic Area",8:00-16:30,4.6,12,90,衢州
"天脊龙门Tianji Longmen",8:00-17:00,4.8,2.5,49,衢州
"廿八都古镇Nianbadu Ancient Town",8:00-17:00,4.4,2.5,65,衢州
"钱江源国家森林公园Qianjiangyuan National Forest Park",8:00-16:00,4.5,12,60,衢州
"龙游民居苑Longyou Residential Court",8:00-17:30,4.3,2.5,45,衢州
"药王山Yaowang (Medicine King) Mountain",8:00-16:30,4.8,2.5,59,衢州
"三衢石林Sanqu Stone Forest",07:30-17:00,4.5,72,53.3,衢州
"仙霞关Xianxiaguan Scenic Resort",08:00-17:15,4.5,2.5,55,衢州
"仙霞关景区Former Residence of Dai Li in Xianxia Pass",8:00-17:15,4.4,2.5,60,衢州
"烂柯山Lanke Mountain",8:00-17:00,4.9,2.5,7,衢州
"清漾毛氏文化村Qingyang Mao's Culture Village",8:00-17:00,4.3,5,40,衢州
"襄阳古城Xiangyang Ancient City",8:00-17:30,4.5,3.5,40,襄阳
"襄阳米公祠Migong Temple",8:00-17:30,4.4,1,22,襄阳
"鹿门山旅游景区Lumen Temple National Forest Park",7:00-19:00,3.9,1.5,45,襄阳
"白水寺Baishui Temple",7:30-17:00,4.3,1.5,63,襄阳
"香水河Xiangshui River",8:00-16:30,4.3,3.5,80,襄阳
"中科院西双版纳热带植物园Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences",08:00-18:00,4.7,2.5,75,西双版纳
"野象谷Wild elephant valley",08:00-18:00,4.3,4,56.2,西双版纳
"告庄西双景Gaozhuangxishuangjing",18:00-23:30,4.6,12,60,西双版纳
"曼听公园Manting Park",08:00-17:00,4.5,2.5,35,西双版纳
"西双版纳傣族园Xishuangbanna Dai Minority Park",09:30-17:00,4.3,2.5,38.5,西双版纳
"西双版纳热带雨林国家公园望天树景区Xishuangbanna Tropical Rainforest National Park Wangtianshu Scenic Area",8:30-18:00,4.7,2.5,95,西双版纳
"西双版纳热带动物园Xishuangbanna Tropical Zoo",09:00-18:00,4.3,2.5,39,西双版纳
"西双版纳原始森林公园Xishuangbanna Primeval Forest Park",08:00-18:00,4.3,12,36,西双版纳
"西双版纳总佛寺Xishuangbanna General Buddhist Temple",08:00-17:30,4.6,1.5,37.5,西双版纳
"澜沧江风光Lancang River Scenery",18:30-21:00,4.6,1.5,235,西双版纳
"西双版纳雨林谷Xishuangbanna Rainforest Valley",9:00-18:00,3.2,12,135,西双版纳
"基诺山寨Keno cottage",09:00-16:20,4.2,2.5,131,西双版纳
"勐巴拉娜西艺术宫",18:00-19:10,4.8,2.5,240,西双版纳
"热带花卉园Tropical Flower Garden",7:30-18:00,4.3,2.5,38,西双版纳
"橄榄坝",8:00-18:30,4.5,2,60,西双版纳
"勐景来Mengjinglai Scenic Resort",8:00-18:00,4.5,12,45,西双版纳
"独树成林Single Tree Forest",8:00-18:00,4.2,1.25,29,西双版纳
"西双版纳猴山Sipsongpanna Monkey Mountain",08:00-17:00,4.7,72,20,西双版纳
"曼飞龙水库Manfeilong Reservoir",08:00-17:00,4.4,1,5,西双版纳
"大益庄园Dayi Manor",8:00-17:00,4.3,2.5,9,西双版纳
"西双版纳南药园景区Xishuangbanna South Medicinal Plant Garden",8:30-18:00,4.5,2.5,20,西双版纳
"大唐芙蓉园Tang Dynasty Furong Garden",09:00-21:00,4.4,3,120,西安
"西安钟楼Bell Tower of Xi'an",08:30-18:00,4.5,1.1,30,西安
"西安城墙Fortifications of Xi'an",08:00-22:00,4.6,2,45,西安
"西安鼓楼Drum Tower of Xi'an",08:30-18:00,4.5,1,30,西安
"永宁门Yongning Gate",8:00-22:00,4.6,0.4,0,西安
"终南山Zhongnan Mountain",10:00-19:00,4.5,108,65,西安
"朱雀国家森林公园Suzaku National Forest Park",09:00-17:00,4.5,12,39.9,西安
"青龙寺Qinglong Temple",08:30-16:30,4.6,1.5,10,西安
"大明宫国家遗址公园Daming Palace National Heritage Park",8:30-18:00,4.2,2.5,60,西安
"白鹿原·白鹿仓",9:00-19:00,4.1,108,48,西安
"翠华山·秦岭终南山世界地质公园Cuihua Mountain",09:00-17:00,4.6,12,65,西安
"太平国家森林公园Taiping National Forest Park",8:00-17:30,4.6,4,58,西安
"中国唐苑China Tangyuan",8:30-17:30,4.5,1.5,7,西安
"秦始皇帝陵博物院-丽山园Mausoleum of the First Qin Emperor",08:30-17:00,4.3,1.5,120,西安
"大兴善寺Daxingshan Temple",8:00-17:00,4.6,1.5,7,西安
"兴庆宫公园Xingqing Palace Park",06:00-22:00,4.8,1.5,7,西安
"临潼博物馆Lintong Museum",9:00-17:00,4.5,1.5,79,西安
"鸿门宴遗址Hongmen Banquet Ruins",8:30-18:30,3.5,1.5,3,西安
"曲江寒窑遗址公园Qujiang Cold Kiln Ruins Park",09:00-22:00,4.4,1.5,50,西安
"张学良将军公馆General Zhang Xueliang Residence",10:00-21:00,4.6,0.5,0,西安
"晚照亭Wanzhao Pavilion",8:00-18:00,4.6,0.2,70,西安
"香积寺Xiangji Temple",8:30-16:30,4.5,1.5,0.1,西安
"楼观台国家森林公园Louguantai National Forest Park",8:00-18:00,4,12,8,西安
"草堂寺Caotang Temple",7:30-18:00,4.3,1.5,3,西安
"大鸿寨风景区Dahong Village Scenic Resort",08:00-17:00,4.3,3.5,49,许昌
"唐韵小镇",08:00-17:30,5,1.5,30,许昌
"首山欢乐谷Shoushan Happy Valley",9:00-20:00,5,3,25,许昌
"西山风景名胜区West Mountain Scenic Area",4:00-19:00,4.5,72,67,贵港
"太平天国金田起义旧址Taiping Tianguo Jintian Uprising Site",8:30-18:00,4.1,1,6,贵港
"龙潭国家森林公园Longtan National Forest Park",8:00-17:30,4.5,12,55,贵港
"平南雄森动物大世界Pingnan Xiongsen Animal World",9:00-17:30,4.3,2.5,90,贵港
"青岩古镇Qingyan Ancient Town",08:30-17:00,4.4,2.5,60,贵阳
"黔灵山公园Qianling Mountain Park",07:00-18:00,4.6,3.5,9,贵阳
"红枫湖Hongfeng Lake",7:00-19:00,3.6,4,9,贵阳
"多彩贵州城极地海洋世界Colorful Guizhou City Polar Ocean World",9:00-17:30,4.6,2.5,149,贵阳
"天河潭旅游度假区Tianhetan",08:30-18:00,4.5,4.5,73,贵阳
"河滨公园Riverside Park",7:00-22:00,4.5,1.5,2,贵阳
"贵州森林野生动物园Guizhou Forest Wildlife Park",9:00-18:00,4.2,4,99,贵阳
"香纸沟Xiangzhigou Workshop",8:00-18:00,4.2,6,75,贵阳
"百花湖Baihua Lake",8:00-18:30,4.5,2.5,680,贵阳
"黄姚古镇Huangyao Ancient Town",08:00-18:00,4.3,12,65,贺州
"姑婆山Gupo Mountain",08:00-17:00,4.6,12,60,贺州
"贺州客家围屋Hakka round houses in Hezhou",8:00-17:30,3.4,1,15,贺州
"十八水原生态景区18 Water Ecological Scenic Area",8:00-18:00,4.1,2.5,50,贺州
"紫云洞景区Ziyun Cave Scenic Spot",8:00-17:30,4.4,1,30,贺州
"玉石林风景区Jade Forest Scenic Area",08:00-17:30,4.5,2,45,贺州
"陈毅故里Former Residence of Chen Yi",9:00-17:00,4.6,1.5,9,资阳
"郁孤台Yugu Platform",08:00-18:00,4.4,1.5,5,赣州
"瑞金共和国摇篮景区Ruijin Prc Cradle Scenic Area",08:30-17:00,4.6,0.75,35,赣州
"红井Red Well",9:00-17:00,4.6,2.5,25,赣州
"三百山景区Sanbaishan Mountain Scenic Area",08:00-17:30,4.5,4,6,赣州
"赣州文庙Confucian Temple",8:00-18:00,4.5,1.5,5,赣州
"阳明山国家森林公园Yangling National Forest Park",7:30-18:30,4.5,12,35,赣州
"汉仙岩风景名胜区Hanxianyan Scenic Area",8:30-17:00,4.5,12,55,赣州
"丫山风景区Mt. Ya Scenic Park",08:00-18:30,4.3,12,59.9,赣州
"云山渔谷",08:00-18:00,5,2.5,30,赣州
"中华苏维埃共和国国家银行旧址",8:30-17:30,5,1.5,30,赣州
"玉龙沙湖Yulong Sand Lake",07:30-18:30,4.4,12,75,赤峰
"元应昌路遗址Yingchang",9:00-17:00,4.3,2,50,赤峰
"黑里河",8:00-18:30,5,3,80,赤峰
"召庙北五台Zhao Temple North Five Stage",7:00-18:00,4.6,1.5,5,赤峰
"蒙古王城Mongol City",09:00-22:00,4.5,12,120,赤峰
"广佑寺Guangyou Temple",08:00-17:00,4.6,1.5,9,辽阳
"东京陵Dongjing Ling",8:00-18:00,4.5,1,10,辽阳
"龙峰山Liaoyang Longfengshan Scenic Area",8:00-17:00,4.5,3.5,18,辽阳
"清风寺Qingfengsi",8:00-18:30,4.9,1,5,辽阳
"巴山云顶旅游度假区",08:00-16:00,4,180,180,达州
"达州博物馆《走进恐龙时代》",9:00-17:00,4,1.5,0,达州
"巴山奇石馆",9:00-17:00,3,0.75,0,达州
"达州博物馆《馆藏书画》",9:00-17:00,3,1.5,0,达州
"金石云顶野生动物园",08:00-19:00,3.3,2.5,128,达州
"秦巴海洋世界",09:00-18:00,5,2.5,58,达州
"达州红军文化陈列馆Dazhouhongjun Culture Exhibition Hall",9:00-17:00,3,1.5,0,达州
"普救寺Pujiu Temple",8:00-18:00,4.5,2.5,50,运城
"解州关帝庙Haizhou Guandi Temple",8:00-18:00,4.7,1.5,50,运城
"蒲津渡遗址Pujindu Site",8:30-18:00,4.4,2.5,7,运城
"常平关帝家庙Emperor Guan Temple, Changping",8:00-18:00,4.4,1.5,25,运城
"大禹渡黄河风景区Scenic Area of Yu's Crossing on the Yellow River",8:00-17:00,4,2,24,运城
"堆云洞Duiyun Cave",8:30-17:30,4.3,1,30,运城
"雨露阳光生态农场",09:00-20:00,5,12,29,运城
"海上云台山Yuntai Mountain",8:30-17:30,4.4,12,40,连云港
"渔湾风景区Yuwan Scenic Area",08:30-17:30,4.5,4.5,37,连云港
"伊甸园Garden of Eden",08:00-19:00,4.8,12,60,连云港
"玉皇阁",7:00-17:00,5,0.75,3,连云港
"连云港云龙涧原生态风景区Lianyungang Yunlongjian Natural Scenic Spot",8:00-17:00,4.2,12,27.5,连云港
"保驾山景区Baojia Mountain",8:30-17:30,4.3,3.5,20,连云港
"郁林观唐隶宋篆摩崖Cliff Carvings of Tang and Song Calligraphy, Yulin Temple",7:00-16:30,4.8,0.5,3,连云港
"海州湾萌宠乐园Haizhouwan Mengchong Amusement Park",8:00-17:30,5,2.5,89,连云港
"梅里雪山国家公园Meili Snow Mountain",6:00-16:30,4.7,108,8,迪庆
"普达措国家公园Pudacuo National Park",08:30-16:00,4.5,5,138,迪庆
"虎跳峡Tiger Leaping Gorge",7:30-18:00,4.5,4,289,迪庆
"纳帕海Napa Sea",8:00-18:00,4,4,498,迪庆
"虎跳峡（香格里拉段）Tiger  Leaping  Gorge",08:00-17:30,4.6,12,45,迪庆
"石卡雪山Shika Snow Mountain",8:00-16:10,4.5,3.5,50,迪庆
"白水台Baishui Terrace",7:00-17:00,4.5,2.5,1,迪庆
"明永冰川Mingyong Glacier",7:00-16:00,4.6,5.5,4,迪庆
"冰湖Ice Lake, Moirig Snow Mountain",7:00-16:30,4.6,1,230,迪庆
"香格里拉巴拉格宗风景名胜区Balagezong Grand Canyon",9:00-18:00,4.5,12,165,迪庆
"拉姆央措湖Lamuyangcuo Lake",9:00-18:00,4.4,0.65,90,迪庆
"鸡公石Cock Stone Island",8:00-17:00,4,0.4,0,迪庆
"三角龙湾Triceratops Bay",7:00-17:00,4.1,4,50,通化
"龙湾群国家森林公园四方顶景区",07:00-17:00,5,12,50,通化
"将军坟The General Tomb",8:00-17:00,4.9,1,30,通化
"查日苏草原Zharisu Grassland",8:00-18:00,2.3,12,35,通辽
"宝古图沙漠旅游区Baogutu Desert Tourist Area",8:30-17:30,4.2,12,20,通辽
"中国死海旅游度假区China’s Dead Sea",9:00-23:55,4.1,3.5,99,遂宁
"中国观音故里灵泉风景区Hedong Lianli Park/Lingquan Temple",08:30-17:00,4.5,2.5,33,遂宁
"广德寺风景区Guangde Temple Scenic Area",08:30-18:00,4.5,2.5,33,遂宁
"沱牌舍得文化旅游区Shede Wine Cultural Tourist Area",08:30-18:00,5,12,39.9,遂宁
"丙安古镇Bing'an Ancient Town",08:00-17:00,4.2,1.5,7,遵义
"赤水丹霞旅游区·大瀑布Chishui Danxia Tourist Area · Great Waterfall",08:00-17:00,4.6,2.5,75,遵义
"娄山关Loushan Pass",9:00-17:00,4.4,3,18,遵义
"桫椤国家级自然保护区Suoluo National Nature Reserve",8:00-16:30,4.4,2.5,50,遵义
"中国丹霞谷Danxia Valley",8:00-17:00,4.2,2.5,60,遵义
"乌江桥Wujiang Grand Bridge",8:00-18:00,4.3,1,15,遵义
"桐梓小西湖Tongzi West Lake",09:00-17:00,4.2,1,7,遵义
"天下第一壶中国茶文化博览园The World No.1 China Tea Culture Expo Park",7:00-22:00,4.6,12,45.78,遵义
"扁鹊庙Ancestral Temple of Bianque",08:30-17:30,4.6,2.5,35,邢台
"秦王湖Qinwanghu",8:00-20:00,4.3,2,9.9,邢台
"兴台古镇Xingtai Ancient Town",8:30-18:00,3.8,12,88,邢台
"天河山Tianhe Mountain",7:00-18:00,4.5,12,65,邢台
"天梯山景区Tianti Mountain Scenic Area",8:00-17:00,4.3,3,26.9,邢台
"崆山白云洞White Cloud Cave of Mount Kong",08:00-17:30,4.5,2.5,110,邢台
"云梦山风景区Yumeng Mountain Resort",08:30-17:30,4.3,3.5,29.1,邢台
"邢台大峡谷Xingtai Gorges",8:00-17:30,4.4,12,25,邢台
"紫金山旅游区Mount Zijin Tourist Area",7:30-18:30,4.3,4.5,29.9,邢台
"张果老山Zhang Guolao Mountain",6:00-18:00,4.2,2,25,邢台
"柏乡牡丹世界旅游景区",9:00-18:00,5,2.5,30,邢台
"周公山Zhougong Mountain",09:00-18:30,4,72,45,邢台
"少林寺Shaolin Temple",08:00-16:30,4.4,2,80,郑州
"嵩山风景名胜区Songshan Scenic Area",08:00-17:00,4.5,108,80,郑州
"郑州海洋馆Zhengzhou Aquarium",8:30-17:00,4.3,3.5,209,郑州
"潘多拉森林动物王国Pandora Forest Animal Kingdom",09:30-18:00,3.2,12,42,郑州
"大玉米58楼城市观光厅Big Corn 58th Floor City Sightseeing Hall",10:00-18:00,4.3,1.5,98,郑州
"三皇寨Sanhuang Village",8:00-17:00,4.6,3.5,80,郑州
"嵩阳书院Songyang Academy",7:30-17:30,4.6,1.5,30,郑州
"康百万庄园Kang Million Estate",8:30-18:00,4.6,3,48,郑州
"郑州市动物园Zhengzhou Zoo",07:30-17:30,4.6,3,30,郑州
"中岳庙Zhongyue Temple",8:00-18:00,4.7,1.5,27,郑州
"卢崖瀑布风景区Luya Waterfall",8:30-18:00,4,1,45,郑州
"雁鸣湖景区Zhongmu Yanminghu Scenic Attraction",8:30-18:00,4,3.5,1,郑州
"观星台Astronomical Observation Terrace",8:00-17:00,4.3,1,0.5,郑州
"巩义石窟寺Gongyi Grottoes Temple",08:00-17:00,4.3,3,7,郑州
"中原影视城景区Zhongyuan Film and Television City Scenic Area",8:00-17:30,3.7,72,80,郑州
"郑州黄河文化公园Zhengzhou Yellow River Scenic Area",06:00-20:00,4.3,12,45,郑州
"嵩门待月Songmen Daiyue Scenic Spot",8:00-18:00,4.5,1.5,50,郑州
"新密神仙洞Xinmi Shenxian Cave",08:00-18:00,4.5,1,38,郑州
"郑州文庙Zhengzhou Confucius Temple",8:00-17:30,4.2,1.5,10,郑州
"少室山景区The Shaoshi Mountain Scenic Area",8:00-17:00,4.8,72,100,郑州
"高椅岭旅游区Gaoyiling Scenic Area",08:15-16:00,4.3,1.5,77.9,郴州
"雾漫小东江",6:30-9:30,4.7,3.5,1,郴州
"莽山国家森林公园Mangshan National Forest Park",8:00-17:30,4.5,108,1,郴州
"汝城温泉福泉山庄Rucheng Hot Spring Fuquan Resort",9:30-23:30,4.6,3.5,158,郴州
"飞天山风景区",8:00-18:00,4.5,4,40,郴州
"便江风景区Bianjiang Scenic Resort",8:00-16:00,4.5,3,10,郴州
"莽山森林温泉Mangshan Forest Hot Springs",9:00-24:00,4.5,4.5,118,郴州
"仙乐水乡渡假旅游区",09:00-17:00,1,12,128,郴州
"响沙湾Whistling Dune Bay (Xiangshawan)",08:30-18:00,4.4,2,130,鄂尔多斯
"鄂尔多斯大草原Ordos Prairie",8:00-22:00,4.6,6,39.9,鄂尔多斯
"七星湖沙漠生态旅游区Qixing Lake Desert Ecological Park",08:30-17:00,4.2,12,100,鄂尔多斯
"鄂尔多斯草原旅游区Ordos Grasslands Tourist Area",8:00-23:00,4.5,3.5,39.9,鄂尔多斯
"成吉思汗陵Mausoleum of Genghis Khan",07:30-19:30,4.3,2.5,90,鄂尔多斯
"康镇Kangzhen Town",09:00-18:00,2.7,12,60,鄂尔多斯
"恩格贝旅游区Engebe Tourist Area",8:00-17:00,4.5,4.5,9,鄂尔多斯
"萨拉乌苏旅游区Salawusu Tourist Area",8:30-18:00,3.7,2.5,25,鄂尔多斯
"库布齐神光响沙旅游区Ordos Kubuqi Shenguang Xiangsha Tourist Zone",08:00-19:00,4.6,4,30,鄂尔多斯
"黄河三盛公水利风景区Huanghe Sanshenggong National Park",9:00-17:30,4.5,4,11,鄂尔多斯
"莫高窟Mogao Grottoes",07:30-18:00,4.5,3.5,238,酒泉
"雅丹地质公园Yadan National Geological Park",08:00-16:30,4.5,2.5,550,酒泉
"玉门关Yumen Pass",07:30-18:00,4.3,1,40,酒泉
